step,position
754, -0.162192
755, -0.158134
756, -0.154178
757, -0.152617
758, -0.150899
759, -0.149025
760, -0.146994
761, -0.144807
762, -0.142463
763, -0.139963
764, -0.137306
765, -0.134492
766, -0.131521
767, -0.128394
768, -0.125186
769, -0.122055
770, -0.119001
771, -0.116024
772, -0.113122
773, -0.110292
774, -0.107533
775, -0.104843
776, -0.102220
777, -0.099663
778, -0.097170
779, -0.094739
780, -0.092369
781, -0.090058
782, -0.087805
783, -0.085608
784, -0.083467
785, -0.081379
786, -0.079343
787, -0.077358
788, -0.075423
789, -0.073536
790, -0.071696
791, -0.069903
792, -0.068154
793, -0.066449
794, -0.064787
795, -0.063166
796, -0.061586
797, -0.060045
798, -0.058543
799, -0.057079
800, -0.055454
801, -0.053673
802, -0.051736
803, -0.049642
804, -0.047392
805, -0.044985
806, -0.042422
807, -0.039702
808, -0.036825
809, -0.033791
810, -0.030601
811, -0.027573
812, -0.024701
813, -0.021985
814, -0.019425
815, -0.017022
816, -0.014774
817, -0.012684
818, -0.010750
819, -0.008973
820, -0.007352
821, -0.005888
822, -0.004581
823, -0.003431
824, -0.002437
825, -0.001600
826, -0.000920
827, -0.000397
828, -0.000031
829, 0.000179
830, 0.000231
831, 0.000227
832, 0.000221
833, 0.000216
834, 0.000210
835, 0.000205
836, 0.000200
837, 0.000195
838, 0.000190
839, 0.000185
840, 0.000181
841, 0.000176
842, 0.000172
843, 0.000167
844, 0.000163
845, 0.000159
846, 0.000155
847, 0.000151
848, 0.000147
849, 0.000144
850, 0.000140
851, 0.000137
852, 0.000133
853, 0.000130
854, 0.000127
855, 0.000124
856, 0.000120
857, 0.000117
858, 0.000114
859, 0.000112
860, 0.000109
861, 0.000106
862, 0.000103
863, 0.000101
864, 0.000098
865, 0.000096
866, 0.000093
867, 0.000091
868, 0.000089
869, 0.000087
870, 0.000084
871, 0.000082
872, 0.000080
873, 0.000078
874, 0.000076
875, 0.000074
876, 0.000073
877, 0.000071
878, 0.000069
879, 0.000067
880, 0.000066
881, 0.000064
882, 0.000062
883, 0.000061
884, 0.000059
885, 0.000058
886, 0.000056
887, 0.000055
888, 0.000054
889, 0.000052
890, 0.000051
891, 0.000050
892, 0.000048
893, 0.000047
894, 0.000046
895, 0.000045
896, 0.000044
897, 0.000043
898, 0.000042
899, 0.000041
900, 0.000040
901, 0.000039
